exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
TIMEOUT,720.0,1.0862418553833515,-0.898755838548599,0.294260564538832,0.4838484425488505,0.9046410498393799,0.37244980025915553,-0.361520122147704,0.294260564538832,LONG
SL,284.0,1.0758116907646729,-1.2259249499411264,-1.0,0.08726095960258318,0.20869404324533392,0.3966407254662695,-1.0,-1.0,LONG
SL,305.0,1.880918843787535,-1.5203994341232385,-1.0,1.633995931364054,0.7048961591943721,0.4113388952720417,-1.0,-1.0,LONG
SL,77.0,0.044321058711168336,-1.18036658659529,-1.0,-0.49975814477771663,-1.0,-1.0,-1.0,-1.0,LONG
SL,345.0,0.771086383618533,-1.0663456442173946,-1.0,-0.23317424753554042,-0.014217941922896441,-0.47487926022481225,-1.0,-1.0,LONG
SL,35.0,0.4656462716272212,-1.0201198474228337,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,400.0,0.15094663109952752,-1.0608096961566265,-1.0,-0.13804818918106537,-0.061354750747138406,-0.3454690794910309,-1.0,-1.0,LONG
TP,427.0,2.015654743827977,-0.07030724891269868,2.0,0.2763615707260737,0.15143099765812307,0.5121612670794475,2.0,2.0,LONG
TP,101.0,2.058958470149181,-0.3988404184492031,2.0,1.532812899685749,2.0,2.0,2.0,2.0,LONG
SL,592.0,0.8199629244112356,-1.6333835914468258,-1.0,-0.47758478842036134,-0.26997715436729636,-0.09202775375039478,0.23508511503068008,-1.0,LONG
SL,472.0,1.2448729361823054,-1.5141539613848491,-1.0,-0.22660807585351028,0.21925067079334903,0.07357405060179079,-1.0,-1.0,LONG
SL,397.0,1.5559369419374565,-1.715893076155326,-1.0,0.09830031521025744,-0.20997877982782864,0.8992443036393696,-1.0,-1.0,LONG
SL,247.0,1.6541560906684643,-2.325582151423096,-1.0,-0.029715378874288798,0.9898051201219888,-0.401865123823634,-1.0,-1.0,LONG
SL,130.0,0.07797145625311185,-1.0056090100758455,-1.0,-0.5319881072355198,-0.658524641954852,-1.0,-1.0,-1.0,LONG
SL,1.0,-0.896891436387547,-1.070330045278357,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
TIMEOUT,720.0,1.2464707202122833,-0.15039972703661772,0.9968599451655369,0.40581540382864395,0.44908830774796155,0.16412040388909305,0.4195360806811193,0.9968599451655369,LONG
TIMEOUT,720.0,0.9299825157164593,-0.3711470869999796,0.43036143706264884,0.08829282553988527,0.07454663713246704,-0.08036233222791507,0.16442556133473193,0.43036143706264884,LONG
TIMEOUT,720.0,0.7911614486169997,-0.6248736968712987,0.502890986248201,-0.13751824452323844,-0.15995846015673146,-0.3567418895582003,0.0563882341559763,0.502890986248201,LONG
TIMEOUT,720.0,1.1179517524735385,-0.6185277855694922,0.8147783958705435,-0.34107002617836557,-0.23685418484608892,0.21316876636148618,0.4892730732677792,0.8147783958705435,LONG
TP,421.0,2.5164137262534703,-0.8752295180619699,2.0,-0.11030572253550353,0.5319416152178459,-0.1639122418985419,2.0,2.0,LONG
SL,141.0,0.7212026111304305,-1.0513668966265173,-1.0,0.14341511151233732,0.2373055802003109,-1.0,-1.0,-1.0,LONG
TP,122.0,2.147005875344488,-0.3015457690090594,2.0000000000000364,-0.20022639062199787,1.046162787948781,2.0000000000000364,2.0000000000000364,2.0000000000000364,LONG
TIMEOUT,720.0,0.5123578920616947,-0.684880662496031,-0.10478732029736147,-0.10883986859616405,-0.028367838091539112,0.20667996323845794,-0.16731235119302235,-0.10478732029736147,LONG
TIMEOUT,720.0,0.5552529560914834,-0.8800759354049899,-0.675326407846268,-0.3983939959956242,0.17143435019326317,0.296366265313828,0.002776264780454892,-0.675326407846268,LONG
SL,302.0,0.30284230945325025,-1.0086731947134184,-1.0,-0.08091818321372209,0.004005850654121932,-0.35491836795716325,-1.0,-1.0,LONG
SL,214.0,0.4995690648520587,-1.012147740768021,-1.0,0.07458843676608065,0.07372112936184408,-1.0,-1.0,-1.0,LONG
